AP_Rnk,PS_Rnk,KP_Rank,TournamentYear,TeamID,TS_Team,Auto Bid,KP_Conference,TS_GP,STA_W,STA_L,STA_Pct,STA_Conf_W,STA_Conf_L,STA_Conf_Pct,STA_Home_W,STA_Home_L,STA_Away_W,STA_Away_L,STA_Neutral_W,STA_Neutral_L,STA_Top25_W,STA_Top25_L,STA_Conf_PF,STA_Conf_PA,STA_Conf_PPG,STA_Conf_PAPG,STA_PF,STA_PA,STA_PPG,STA_PAPG,TS_FGM,TS_FGA,TS_FG%,TS_3PM,TS_3PA,TS_3P%,TS_FTM,TS_FTA,TS_FT%,KP_Ajusted Efficiency Margin,KP_Adjusted Offensive Efficiency,KP_AOE Rk,KP_Adjusted Defensive Efficiency,KP_ADE Rk,KP_Adjusted Tempo,KP_AT Rk,KP_Luck,KP_Luck Rk,KP_Strength of Schedule,KP_SOS Rk,KP_Non-Conference Strength of Schedule,KP_NCSOS Rk,KP_Average Opponents Offensive Efficiency,KP_AOOE Rk,KP_Average Opponents Defensive Efficiency,KP_AODE Rk,Round,Round Number,Team,Seed,PF**,Opp_AP_Rnk,Opp_PS_Rnk,Opp_KP_Rank,OppTeamID,Opp_TS_Team,Opp_KP_Conference,Opp_TS_GP,Opp_STA_W,Opp_STA_L,Opp_STA_Pct,Opp_STA_Conf_W,Opp_STA_Conf_L,Opp_STA_Conf_Pct,Opp_STA_Home_W,Opp_STA_Home_L,Opp_STA_Away_W,Opp_STA_Away_L,Opp_STA_Neutral_W,Opp_STA_Neutral_L,Opp_STA_Top25_W,Opp_STA_Top25_L,Opp_STA_Conf_PF,Opp_STA_Conf_PA,Opp_STA_Conf_PPG,Opp_STA_Conf_PAPG,Opp_STA_PF,Opp_STA_PA,Opp_STA_PPG,Opp_STA_PAPG,Opp_TS_FGM,Opp_TS_FGA,Opp_TS_FG%,Opp_TS_3PM,Opp_TS_3PA,Opp_TS_3P%,Opp_TS_FTM,Opp_TS_FTA,Opp_TS_FT%,Opp_KP_Ajusted Efficiency Margin,Opp_KP_Adjusted Offensive Efficiency,Opp_KP AOW Rk,Opp_KP_Adjusted Defensive Efficiency,Opp_KP_ADE Rk,Opp_KP_Adjusted Tempo,Opp_KP_AT Rk,Opp_KP_Luck,Opp_KP_Luck_Rk,Opp_KP_Strength of Schedule,Opp_KP_SOS Rk,Opp_KP_Non-Conference Strength of Schedule,Opp_KP_NCSOS Rk,Opp_KP_Average Opponents Offensive Efficiency,Opp_KP_AOOE Rk,Opp_KP_Average Opponents Defensive Efficiency,Opp_KP_AODE Rk,OppTeam,OppSeed,GameID
,,39,2021,32,Oklahoma,0,Big 12,25.00,15.00,10.00,0.6,9.00,8.00,0.529,10.00,3.00,4.00,7.00,1.00,0.00,5.00,7.00,1232.00,1179.00,72.5,69.4,1869.00,1731.00,74.8,69.2,670.00,1517.00,0.442,200.00,591.00,0.338,329.00,442.00,0.744,18.07,112.1,36,94.1,53,67.7,222,-0.038,260,12.45,48,0.59,203,108.2,55,95.7,38,First Round,1,Oklahoma,8,72,,,51,33,Missouri,SEC,25.00,16.00,9.00,0.64,8.00,8.00,0.5,8.00,4.00,6.00,4.00,2.00,1.00,4.00,2.00,1152.00,1168.00,72,73,1841.00,1798.00,73.6,71.9,646.00,1439.00,0.449,173.00,540.00,0.32,376.00,539.00,0.698,16.58,110.9,51,94.4,58,68.7,160,0.088,24,15.08,17,9.77,59,109.8,25,94.7,20,Missouri,9,6
,,51,2021,33,Missouri,0,SEC,25.00,16.00,9.00,0.64,8.00,8.00,0.5,8.00,4.00,6.00,4.00,2.00,1.00,4.00,2.00,1152.00,1168.00,72,73,1841.00,1798.00,73.6,71.9,646.00,1439.00,0.449,173.00,540.00,0.32,376.00,539.00,0.698,16.58,110.9,51,94.4,58,68.7,160,0.088,24,15.08,17,9.77,59,109.8,25,94.7,20,First Round,1,Missouri,9,68,,,39,32,Oklahoma,Big 12,25.00,15.00,10.00,0.6,9.00,8.00,0.529,10.00,3.00,4.00,7.00,1.00,0.00,5.00,7.00,1232.00,1179.00,72.5,69.4,1869.00,1731.00,74.8,69.2,670.00,1517.00,0.442,200.00,591.00,0.338,329.00,442.00,0.744,18.07,112.1,36,94.1,53,67.7,222,-0.038,260,12.45,48,0.59,203,108.2,55,95.7,38,Oklahoma,8,6
19,11,19,2021,17,Creighton,0,Big East,28.00,20.00,8.00,0.714,14.00,6.00,0.7,11.00,3.00,7.00,4.00,2.00,1.00,3.00,2.00,1535.00,1397.00,76.8,69.9,2155.00,1912.00,77,68.3,797.00,1675.00,0.476,272.00,742.00,0.367,289.00,450.00,0.642,22.73,115.6,14,92.8,40,69.1,144,0.001,172,12.52,45,-1.4,233,107.8,63,95.3,29,First Round,1,Creighton,5,63,,,69,50,UC Santa Barbara,Big West,26.00,22.00,4.00,0.846,13.00,3.00,0.813,11.00,0.00,8.00,4.00,3.00,0.00,0.00,0.00,1309.00,1119.00,72.7,62.2,1989.00,1633.00,76.5,62.8,717.00,1477.00,0.485,176.00,501.00,0.351,379.00,505.00,0.75,13.66,109.9,66,96.3,82,66.1,295,0.054,63,-0.54,185,2.48,169,101.4,215,101.9,174,UC Santa Barbara,12,7
,,69,2021,50,UC Santa Barbara,1,Big West,26.00,22.00,4.00,0.846,13.00,3.00,0.813,11.00,0.00,8.00,4.00,3.00,0.00,0.00,0.00,1309.00,1119.00,72.7,62.2,1989.00,1633.00,76.5,62.8,717.00,1477.00,0.485,176.00,501.00,0.351,379.00,505.00,0.75,13.66,109.9,66,96.3,82,66.1,295,0.054,63,-0.54,185,2.48,169,101.4,215,101.9,174,First Round,1,UC Santa Barbara,12,62,19,11,19,17,Creighton,Big East,28.00,20.00,8.00,0.714,14.00,6.00,0.7,11.00,3.00,7.00,4.00,2.00,1.00,3.00,2.00,1535.00,1397.00,76.8,69.9,2155.00,1912.00,77,68.3,797.00,1675.00,0.476,272.00,742.00,0.367,289.00,450.00,0.642,22.73,115.6,14,92.8,40,69.1,144,0.001,172,12.52,45,-1.4,233,107.8,63,95.3,29,Creighton,5,7
15,4,11,2021,16,Virginia,0,ACC,24.00,18.00,6.00,0.75,13.00,4.00,0.765,10.00,1.00,6.00,3.00,2.00,2.00,1.00,3.00,1128.00,1014.00,66.4,59.6,1647.00,1451.00,68.6,60.5,608.00,1266.00,0.48,204.00,535.00,0.381,227.00,278.00,0.817,24.08,116.3,12,92.3,33,60.1,357,0.046,83,12.02,53,0.28,210,109.6,30,97.6,84,First Round,1,Virginia,4,58,,,78,51,Ohio,MAC,23.00,16.00,7.00,0.696,9.00,5.00,0.643,8.00,3.00,4.00,4.00,4.00,0.00,0.00,1.00,1101.00,1064.00,78.6,76,1860.00,1685.00,80.9,73.3,686.00,1403.00,0.489,195.00,540.00,0.361,293.00,418.00,0.701,12.54,113.7,29,101.2,174,69.3,131,0.027,113,4.23,133,1.47,191,105.3,108,101.1,146,Ohio,13,8
,,78,2021,51,Ohio,1,MAC,23.00,16.00,7.00,0.696,9.00,5.00,0.643,8.00,3.00,4.00,4.00,4.00,0.00,0.00,1.00,1101.00,1064.00,78.6,76,1860.00,1685.00,80.9,73.3,686.00,1403.00,0.489,195.00,540.00,0.361,293.00,418.00,0.701,12.54,113.7,29,101.2,174,69.3,131,0.027,113,4.23,133,1.47,191,105.3,108,101.1,146,First Round,1,Ohio,13,62,15,4,11,16,Virginia,ACC,24.00,18.00,6.00,0.75,13.00,4.00,0.765,10.00,1.00,6.00,3.00,2.00,2.00,1.00,3.00,1128.00,1014.00,66.4,59.6,1647.00,1451.00,68.6,60.5,608.00,1266.00,0.48,204.00,535.00,0.381,227.00,278.00,0.817,24.08,116.3,12,92.3,33,60.1,357,0.046,83,12.02,53,0.28,210,109.6,30,97.6,84,Virginia,4,8
24,,14,2021,21,USC,0,Pac-12,29.00,22.00,7.00,0.759,15.00,5.00,0.75,13.00,2.00,7.00,3.00,2.00,2.00,1.00,1.00,1455.00,1287.00,72.8,64.4,2168.00,1888.00,74.8,65.1,788.00,1687.00,0.467,183.00,526.00,0.348,409.00,632.00,0.647,23.65,113.6,30,89.9,19,67.3,236,-0.006,194,11.13,64,5.03,128,108.1,57,97,70,First Round,1,USC,6,72,,,53,48,Drake,Missouri Valley,29.00,25.00,4.00,0.862,15.00,3.00,0.833,14.00,1.00,9.00,2.00,2.00,1.00,1.00,2.00,1331.00,1191.00,73.9,66.2,2245.00,1875.00,77.4,64.7,868.00,1757.00,0.494,204.00,552.00,0.37,305.00,428.00,0.713,16.07,114.6,19,98.6,120,66.8,265,0.095,21,2.18,157,-9.27,310,102.9,172,100.7,138,Drake,11,9
,,53,2021,48,Drake,0,Missouri Valley,29.00,25.00,4.00,0.862,15.00,3.00,0.833,14.00,1.00,9.00,2.00,2.00,1.00,1.00,2.00,1331.00,1191.00,73.9,66.2,2245.00,1875.00,77.4,64.7,868.00,1757.00,0.494,204.00,552.00,0.37,305.00,428.00,0.713,16.07,114.6,19,98.6,120,66.8,265,0.095,21,2.18,157,-9.27,310,102.9,172,100.7,138,First Round,1,Drake,11,56,24,,14,21,USC,Pac-12,29.00,22.00,7.00,0.759,15.00,5.00,0.75,13.00,2.00,7.00,3.00,2.00,2.00,1.00,1.00,1455.00,1287.00,72.8,64.4,2168.00,1888.00,74.8,65.1,788.00,1687.00,0.467,183.00,526.00,0.348,409.00,632.00,0.647,23.65,113.6,30,89.9,19,67.3,236,-0.006,194,11.13,64,5.03,128,108.1,57,97,70,USC,6,9
12,6,22,2021,12,Kansas,0,Big 12,28.00,20.00,8.00,0.714,12.00,6.00,0.667,13.00,1.00,4.00,6.00,2.00,1.00,8.00,6.00,1279.00,1164.00,71.1,64.7,2047.00,1841.00,73.1,65.8,737.00,1676.00,0.44,209.00,608.00,0.344,364.00,511.00,0.712,22.46,110.3,59,87.9,6,68.3,186,0.042,87,14.71,20,10.14,56,110,23,95.3,31,First Round,1,Kansas,3,93,,,110,58,Eastern Washington,Big Sky,23.00,16.00,7.00,0.696,12.00,3.00,0.8,7.00,2.00,6.00,5.00,3.00,0.00,0.00,0.00,1244.00,1086.00,82.9,72.4,1795.00,1597.00,78,69.4,638.00,1367.00,0.467,194.00,548.00,0.354,325.00,413.00,0.787,8.08,108.4,86,100.3,152,72.4,28,-0.081,323,-3.21,236,17.77,12,100.6,237,103.8,241,Eastern Washington,14,10
,,110,2021,58,Eastern Washington,1,Big Sky,23.00,16.00,7.00,0.696,12.00,3.00,0.8,7.00,2.00,6.00,5.00,3.00,0.00,0.00,0.00,1244.00,1086.00,82.9,72.4,1795.00,1597.00,78,69.4,638.00,1367.00,0.467,194.00,548.00,0.354,325.00,413.00,0.787,8.08,108.4,86,100.3,152,72.4,28,-0.081,323,-3.21,236,17.77,12,100.6,237,103.8,241,First Round,1,Eastern Washington,14,84,12,6,22,12,Kansas,Big 12,28.00,20.00,8.00,0.714,12.00,6.00,0.667,13.00,1.00,4.00,6.00,2.00,1.00,8.00,6.00,1279.00,1164.00,71.1,64.7,2047.00,1841.00,73.1,65.8,737.00,1676.00,0.44,209.00,608.00,0.344,364.00,511.00,0.712,22.46,110.3,59,87.9,6,68.3,186,0.042,87,14.71,20,10.14,56,110,23,95.3,31,Kansas,3,10
8,5,5,2021,7,Iowa,0,Big Ten,29.00,21.00,8.00,0.724,14.00,6.00,0.7,14.00,2.00,6.00,4.00,1.00,2.00,8.00,5.00,1605.00,1437.00,80.3,71.9,2429.00,2086.00,83.8,71.9,863.00,1839.00,0.469,283.00,733.00,0.386,420.00,589.00,0.713,30.33,124.2,2,93.9,50,70,99,-0.028,240,16.91,13,-5.43,286,110.3,19,93.4,6,First Round,1,Iowa,2,86,,,108,59,Grand Canyon,WAC,23.00,17.00,6.00,0.739,9.00,3.00,0.75,10.00,3.00,5.00,1.00,2.00,2.00,0.00,1.00,827.00,738.00,68.9,61.5,1738.00,1405.00,75.6,61.1,646.00,1314.00,0.492,156.00,470.00,0.332,290.00,423.00,0.686,8.41,104.2,142,95.8,74,65.5,314,-0.061,299,-4.01,255,0.68,201,100.3,245,104.3,270,Grand Canyon,15,11
,,108,2021,59,Grand Canyon,1,WAC,23.00,17.00,6.00,0.739,9.00,3.00,0.75,10.00,3.00,5.00,1.00,2.00,2.00,0.00,1.00,827.00,738.00,68.9,61.5,1738.00,1405.00,75.6,61.1,646.00,1314.00,0.492,156.00,470.00,0.332,290.00,423.00,0.686,8.41,104.2,142,95.8,74,65.5,314,-0.061,299,-4.01,255,0.68,201,100.3,245,104.3,270,First Round,1,Grand Canyon,15,74,8,5,5,7,Iowa,Big Ten,29.00,21.00,8.00,0.724,14.00,6.00,0.7,14.00,2.00,6.00,4.00,1.00,2.00,8.00,5.00,1605.00,1437.00,80.3,71.9,2429.00,2086.00,83.8,71.9,863.00,1839.00,0.469,283.00,733.00,0.386,420.00,589.00,0.713,30.33,124.2,2,93.9,50,70,99,-0.028,240,16.91,13,-5.43,286,110.3,19,93.4,6,Iowa,2,11
