AP_Rnk,PS_Rnk,KP_Rank,TournamentYear,TeamID,TS_Team,Auto Bid,KP_Conference,TS_GP,STA_W,STA_L,STA_Pct,STA_Conf_W,STA_Conf_L,STA_Conf_Pct,STA_Home_W,STA_Home_L,STA_Away_W,STA_Away_L,STA_Neutral_W,STA_Neutral_L,STA_Top25_W,STA_Top25_L,STA_Conf_PF,STA_Conf_PA,STA_Conf_PPG,STA_Conf_PAPG,STA_PF,STA_PA,STA_PPG,STA_PAPG,TS_FGM,TS_FGA,TS_FG%,TS_3PM,TS_3PA,TS_3P%,TS_FTM,TS_FTA,TS_FT%,KP_Ajusted Efficiency Margin,KP_Adjusted Offensive Efficiency,KP_AOE Rk,KP_Adjusted Defensive Efficiency,KP_ADE Rk,KP_Adjusted Tempo,KP_AT Rk,KP_Luck,KP_Luck Rk,KP_Strength of Schedule,KP_SOS Rk,KP_Non-Conference Strength of Schedule,KP_NCSOS Rk,KP_Average Opponents Offensive Efficiency,KP_AOOE Rk,KP_Average Opponents Defensive Efficiency,KP_AODE Rk,Round,Round Number,Team,Seed,PF**,Opp_AP_Rnk,Opp_PS_Rnk,Opp_KP_Rank,OppTeamID,Opp_TS_Team,Opp_KP_Conference,Opp_TS_GP,Opp_STA_W,Opp_STA_L,Opp_STA_Pct,Opp_STA_Conf_W,Opp_STA_Conf_L,Opp_STA_Conf_Pct,Opp_STA_Home_W,Opp_STA_Home_L,Opp_STA_Away_W,Opp_STA_Away_L,Opp_STA_Neutral_W,Opp_STA_Neutral_L,Opp_STA_Top25_W,Opp_STA_Top25_L,Opp_STA_Conf_PF,Opp_STA_Conf_PA,Opp_STA_Conf_PPG,Opp_STA_Conf_PAPG,Opp_STA_PF,Opp_STA_PA,Opp_STA_PPG,Opp_STA_PAPG,Opp_TS_FGM,Opp_TS_FGA,Opp_TS_FG%,Opp_TS_3PM,Opp_TS_3PA,Opp_TS_3P%,Opp_TS_FTM,Opp_TS_FTA,Opp_TS_FT%,Opp_KP_Ajusted Efficiency Margin,Opp_KP_Adjusted Offensive Efficiency,Opp_KP AOW Rk,Opp_KP_Adjusted Defensive Efficiency,Opp_KP_ADE Rk,Opp_KP_Adjusted Tempo,Opp_KP_AT Rk,Opp_KP_Luck,Opp_KP_Luck_Rk,Opp_KP_Strength of Schedule,Opp_KP_SOS Rk,Opp_KP_Non-Conference Strength of Schedule,Opp_KP_NCSOS Rk,Opp_KP_Average Opponents Offensive Efficiency,Opp_KP_AOOE Rk,Opp_KP_Average Opponents Defensive Efficiency,Opp_KP_AODE Rk,OppTeam,OppSeed,GameID
4,25,2,2021,4,Michigan,0,Big Ten,24.00,20.00,4.00,0.833,14.00,3.00,0.824,13.00,1.00,6.00,2.00,1.00,1.00,6.00,3.00,1252.00,1088.00,73.6,64,1830.00,1569.00,76.3,65.4,668.00,1382.00,0.483,181.00,468.00,0.387,311.00,400.00,0.778,32.22,120.1,6,87.9,7,66.8,260,0.026,115,16.87,14,2.99,158,111.3,12,94.5,18,First Round,1,Michigan,1,82,,,229,66,Texas Southern,SWAC,24.00,16.00,8.00,0.667,10.00,3.00,0.769,8.00,2.00,5.00,6.00,3.00,0.00,0.00,0.00,976.00,876.00,75.1,67.4,1795.00,1672.00,74.8,69.7,650.00,1443.00,0.45,110.00,398.00,0.276,385.00,551.00,0.699,-4.63,99.7,236,104.3,236,72,41,0.055,61,-10.23,341,13.39,30,94,341,104.2,267,Texas Southern,16,12
,,229,2021,66,Texas Southern,1,SWAC,24.00,16.00,8.00,0.667,10.00,3.00,0.769,8.00,2.00,5.00,6.00,3.00,0.00,0.00,0.00,976.00,876.00,75.1,67.4,1795.00,1672.00,74.8,69.7,650.00,1443.00,0.45,110.00,398.00,0.276,385.00,551.00,0.699,-4.63,99.7,236,104.3,236,72,41,0.055,61,-10.23,341,13.39,30,94,341,104.2,267,First Round,1,Texas Southern,16,66,4,25,2,4,Michigan,Big Ten,24.00,20.00,4.00,0.833,14.00,3.00,0.824,13.00,1.00,6.00,2.00,1.00,1.00,6.00,3.00,1252.00,1088.00,73.6,64,1830.00,1569.00,76.3,65.4,668.00,1382.00,0.483,181.00,468.00,0.387,311.00,400.00,0.778,32.22,120.1,6,87.9,7,66.8,260,0.026,115,16.87,14,2.99,158,111.3,12,94.5,18,Michigan,1,12
,,29,2021,29,LSU,0,SEC,27.00,18.00,9.00,0.667,11.00,6.00,0.647,11.00,2.00,4.00,6.00,3.00,1.00,2.00,5.00,1382.00,1324.00,81.3,77.9,2217.00,2034.00,82.1,75.3,784.00,1692.00,0.463,220.00,628.00,0.35,429.00,575.00,0.746,21.02,120.5,5,99.4,125,70.8,78,0.002,167,13.5,37,0.56,204,107.8,65,94.3,14,First Round,1,LSU,8,76,,,25,39,St. Bonaventure,Atlantic 10,20.00,16.00,4.00,0.8,11.00,4.00,0.733,8.00,1.00,4.00,3.00,4.00,0.00,0.00,0.00,1032.00,887.00,68.8,59.1,1410.00,1207.00,70.5,60.4,521.00,1161.00,0.449,131.00,370.00,0.354,237.00,323.00,0.734,22.25,112,38,89.8,17,65.2,319,0.014,143,8.29,90,2.86,163,105.8,97,97.6,83,St. Bonaventure,9,13
,,25,2021,39,St. Bonaventure,1,Atlantic 10,20.00,16.00,4.00,0.8,11.00,4.00,0.733,8.00,1.00,4.00,3.00,4.00,0.00,0.00,0.00,1032.00,887.00,68.8,59.1,1410.00,1207.00,70.5,60.4,521.00,1161.00,0.449,131.00,370.00,0.354,237.00,323.00,0.734,22.25,112,38,89.8,17,65.2,319,0.014,143,8.29,90,2.86,163,105.8,97,97.6,83,First Round,1,St. Bonaventure,9,61,,,29,29,LSU,SEC,27.00,18.00,9.00,0.667,11.00,6.00,0.647,11.00,2.00,4.00,6.00,3.00,1.00,2.00,5.00,1382.00,1324.00,81.3,77.9,2217.00,2034.00,82.1,75.3,784.00,1692.00,0.463,220.00,628.00,0.35,429.00,575.00,0.746,21.02,120.5,5,99.4,125,70.8,78,0.002,167,13.5,37,0.56,204,107.8,65,94.3,14,LSU,8,13
22,,17,2021,20,Colorado,0,Pac-12,30.00,22.00,8.00,0.733,14.00,6.00,0.7,11.00,1.00,6.00,6.00,4.00,1.00,3.00,1.00,1445.00,1298.00,72.3,64.9,2191.00,1898.00,73,63.3,774.00,1704.00,0.454,224.00,611.00,0.367,419.00,510.00,0.822,23.11,115.1,17,92,29,66.4,280,-0.033,252,10.78,68,1.99,180,107.8,66,97,71,First Round,1,Colorado,5,96,,,55,47,Georgetown,Big East,25.00,13.00,12.00,0.52,7.00,9.00,0.438,7.00,6.00,2.00,6.00,4.00,0.00,3.00,4.00,1144.00,1199.00,71.5,74.9,1784.00,1767.00,71.4,70.7,621.00,1463.00,0.424,208.00,568.00,0.366,334.00,443.00,0.754,15.49,108.4,85,92.9,41,69.6,113,0.001,171,14.45,25,4.5,135,110.3,25,95.8,39,Georgetown,12,14
,,55,2021,47,Georgetown,1,Big East,25.00,13.00,12.00,0.52,7.00,9.00,0.438,7.00,6.00,2.00,6.00,4.00,0.00,3.00,4.00,1144.00,1199.00,71.5,74.9,1784.00,1767.00,71.4,70.7,621.00,1463.00,0.424,208.00,568.00,0.366,334.00,443.00,0.754,15.49,108.4,85,92.9,41,69.6,113,0.001,171,14.45,25,4.5,135,110.3,25,95.8,39,First Round,1,Georgetown,12,73,22,,17,20,Colorado,Pac-12,30.00,22.00,8.00,0.733,14.00,6.00,0.7,11.00,1.00,6.00,6.00,4.00,1.00,3.00,1.00,1445.00,1298.00,72.3,64.9,2191.00,1898.00,73,63.3,774.00,1704.00,0.454,224.00,611.00,0.367,419.00,510.00,0.822,23.11,115.1,17,92,29,66.4,280,-0.033,252,10.78,68,1.99,180,107.8,66,97,71,Colorado,5,14
14,21,15,2021,13,Florida State,0,ACC,22.00,16.00,6.00,0.727,11.00,4.00,0.733,12.00,1.00,3.00,4.00,1.00,1.00,2.00,0.00,1208.00,1060.00,80.5,70.7,1736.00,1547.00,78.9,70.3,620.00,1307.00,0.474,181.00,464.00,0.39,315.00,427.00,0.738,23.5,117.1,10,93.6,48,70.6,84,-0.011,207,12.54,44,4.23,142,108.8,46,96.2,45,First Round,1,Florida State,4,64,,,100,54,UNC Greensboro,Southern,29.00,21.00,8.00,0.724,13.00,5.00,0.722,7.00,3.00,10.00,3.00,4.00,2.00,0.00,0.00,1331.00,1213.00,73.9,67.4,2135.00,1956.00,73.6,67.4,803.00,1894.00,0.424,221.00,736.00,0.3,308.00,451.00,0.683,9.58,104.8,129,95.2,67,68.5,174,0.005,161,0.74,169,-2.77,252,103.2,162,102.5,192,UNC Greensboro,13,15
,,100,2021,54,UNC Greensboro,1,Southern,29.00,21.00,8.00,0.724,13.00,5.00,0.722,7.00,3.00,10.00,3.00,4.00,2.00,0.00,0.00,1331.00,1213.00,73.9,67.4,2135.00,1956.00,73.6,67.4,803.00,1894.00,0.424,221.00,736.00,0.3,308.00,451.00,0.683,9.58,104.8,129,95.2,67,68.5,174,0.005,161,0.74,169,-2.77,252,103.2,162,102.5,192,First Round,1,UNC Greensboro,13,54,14,21,15,13,Florida State,ACC,22.00,16.00,6.00,0.727,11.00,4.00,0.733,12.00,1.00,3.00,4.00,1.00,1.00,2.00,0.00,1208.00,1060.00,80.5,70.7,1736.00,1547.00,78.9,70.3,620.00,1307.00,0.474,181.00,464.00,0.39,315.00,427.00,0.738,23.5,117.1,10,93.6,48,70.6,84,-0.011,207,12.54,44,4.23,142,108.8,46,96.2,45,Florida State,4,15
23,,24,2021,23,BYU,0,WCC,26.00,20.00,6.00,0.769,10.00,3.00,0.769,10.00,2.00,7.00,2.00,2.00,2.00,1.00,3.00,1019.00,874.00,78.4,67.2,2047.00,1780.00,78.7,68.5,751.00,1557.00,0.482,233.00,616.00,0.378,312.00,427.00,0.731,22.37,113.8,28,91.4,26,68,199,0.045,84,10.28,73,8.69,73,107.8,64,97.5,82,First Round,1,BYU,6,62,,22,44,44,UCLA,Pac-12,26.00,17.00,9.00,0.654,13.00,6.00,0.684,11.00,1.00,5.00,5.00,1.00,2.00,0.00,1.00,1350.00,1282.00,71.1,67.5,1894.00,1781.00,72.8,68.5,686.00,1485.00,0.462,173.00,471.00,0.367,349.00,484.00,0.721,17.35,114.1,26,96.8,86,64.7,332,0.024,119,11.87,55,9.09,68,108.6,50,96.7,61,UCLA,11,16
,22,44,2021,44,UCLA,0,Pac-12,26.00,17.00,9.00,0.654,13.00,6.00,0.684,11.00,1.00,5.00,5.00,1.00,2.00,0.00,1.00,1350.00,1282.00,71.1,67.5,1894.00,1781.00,72.8,68.5,686.00,1485.00,0.462,173.00,471.00,0.367,349.00,484.00,0.721,17.35,114.1,26,96.8,86,64.7,332,0.024,119,11.87,55,9.09,68,108.6,50,96.7,61,First Round,1,UCLA,11,73,23,,24,23,BYU,WCC,26.00,20.00,6.00,0.769,10.00,3.00,0.769,10.00,2.00,7.00,2.00,2.00,2.00,1.00,3.00,1019.00,874.00,78.4,67.2,2047.00,1780.00,78.7,68.5,751.00,1557.00,0.482,233.00,616.00,0.378,312.00,427.00,0.731,22.37,113.8,28,91.4,26,68,199,0.045,84,10.28,73,8.69,73,107.8,64,97.5,82,BYU,6,16
9,19,26,2021,11,Texas,1,Big 12,26.00,19.00,7.00,0.731,11.00,6.00,0.647,8.00,5.00,6.00,2.00,5.00,0.00,7.00,6.00,1277.00,1211.00,75.1,71.2,1956.00,1789.00,75.2,68.8,684.00,1507.00,0.454,225.00,632.00,0.356,363.00,513.00,0.708,22.01,114.5,21,92.5,36,69.2,137,0.017,140,14.05,30,8.32,80,109,41,94.9,23,First Round,1,Texas,3,52,,,86,55,Abilene Christian,Southland,27.00,23.00,4.00,0.852,13.00,2.00,0.867,13.00,0.00,5.00,4.00,5.00,0.00,0.00,1.00,1178.00,943.00,78.5,62.9,2096.00,1634.00,77.6,60.5,749.00,1628.00,0.46,214.00,606.00,0.353,384.00,571.00,0.673,11.56,103.7,157,92.2,30,70,101,-0.027,238,-8.15,331,4.29,138,97.6,318,105.8,329,Abilene Christian,14,17
,,86,2021,55,Abilene Christian,1,Southland,27.00,23.00,4.00,0.852,13.00,2.00,0.867,13.00,0.00,5.00,4.00,5.00,0.00,0.00,1.00,1178.00,943.00,78.5,62.9,2096.00,1634.00,77.6,60.5,749.00,1628.00,0.46,214.00,606.00,0.353,384.00,571.00,0.673,11.56,103.7,157,92.2,30,70,101,-0.027,238,-8.15,331,4.29,138,97.6,318,105.8,329,First Round,1,Abilene Christian,14,53,9,19,26,11,Texas,Big 12,26.00,19.00,7.00,0.731,11.00,6.00,0.647,8.00,5.00,6.00,2.00,5.00,0.00,7.00,6.00,1277.00,1211.00,75.1,71.2,1956.00,1789.00,75.2,68.8,684.00,1507.00,0.454,225.00,632.00,0.356,363.00,513.00,0.708,22.01,114.5,21,92.5,36,69.2,137,0.017,140,14.05,30,8.32,80,109,41,94.9,23,Texas,3,17
,,16,2021,26,UConn,0,Big East,22.00,15.00,7.00,0.682,11.00,6.00,0.647,7.00,3.00,6.00,3.00,2.00,1.00,0.00,4.00,1214.00,1113.00,71.4,65.5,1596.00,1422.00,72.5,64.6,581.00,1323.00,0.439,148.00,440.00,0.336,286.00,391.00,0.731,23.33,114.3,24,90.9,25,66,301,-0.066,307,12.6,42,-2.02,243,107.9,62,95.3,28,First Round,1,UConn,7,54,,,31,36,Maryland,Big Ten,29.00,16.00,13.00,0.552,9.00,11.00,0.45,11.00,6.00,4.00,6.00,1.00,1.00,4.00,7.00,1290.00,1315.00,64.5,65.8,1995.00,1884.00,68.8,65,699.00,1533.00,0.456,234.00,663.00,0.353,363.00,517.00,0.702,20.15,111.6,42,91.5,27,65.3,317,-0.035,253,17.06,12,-0.8,225,110.1,22,93.1,4,Maryland,10,18
,,31,2021,36,Maryland,0,Big Ten,29.00,16.00,13.00,0.552,9.00,11.00,0.45,11.00,6.00,4.00,6.00,1.00,1.00,4.00,7.00,1290.00,1315.00,64.5,65.8,1995.00,1884.00,68.8,65,699.00,1533.00,0.456,234.00,663.00,0.353,363.00,517.00,0.702,20.15,111.6,42,91.5,27,65.3,317,-0.035,253,17.06,12,-0.8,225,110.1,22,93.1,4,First Round,1,Maryland,10,63,,,16,26,UConn,Big East,22.00,15.00,7.00,0.682,11.00,6.00,0.647,7.00,3.00,6.00,3.00,2.00,1.00,0.00,4.00,1214.00,1113.00,71.4,65.5,1596.00,1422.00,72.5,64.6,581.00,1323.00,0.439,148.00,440.00,0.336,286.00,391.00,0.731,23.33,114.3,24,90.9,25,66,301,-0.066,307,12.6,42,-2.02,243,107.9,62,95.3,28,UConn,7,18
5,,8,2021,5,Alabama,1,SEC,30.00,24.00,6.00,0.8,16.00,2.00,0.889,12.00,1.00,7.00,3.00,5.00,2.00,1.00,3.00,1474.00,1262.00,81.9,70.1,2387.00,2093.00,79.6,69.8,834.00,1937.00,0.431,320.00,912.00,0.351,399.00,554.00,0.72,26.42,112.4,34,86,2,73.9,9,0.031,107,14.2,27,8.88,70,109.7,28,95.5,32,First Round,1,Alabama,2,68,,,181,62,Iona,MAAC,17.00,12.00,5.00,0.706,6.00,3.00,0.667,4.00,2.00,4.00,3.00,4.00,0.00,0.00,0.00,668.00,598.00,74.2,66.4,1228.00,1121.00,72.2,65.9,423.00,951.00,0.445,127.00,358.00,0.355,255.00,343.00,0.743,0.39,101.1,210,100.7,161,68.3,184,0.038,92,-7.05,319,-0.41,217,97.4,321,104.4,278,Iona,15,19
,,181,2021,62,Iona,1,MAAC,17.00,12.00,5.00,0.706,6.00,3.00,0.667,4.00,2.00,4.00,3.00,4.00,0.00,0.00,0.00,668.00,598.00,74.2,66.4,1228.00,1121.00,72.2,65.9,423.00,951.00,0.445,127.00,358.00,0.355,255.00,343.00,0.743,0.39,101.1,210,100.7,161,68.3,184,0.038,92,-7.05,319,-0.41,217,97.4,321,104.4,278,First Round,1,Iona,15,55,5,,8,5,Alabama,SEC,30.00,24.00,6.00,0.8,16.00,2.00,0.889,12.00,1.00,7.00,3.00,5.00,2.00,1.00,3.00,1474.00,1262.00,81.9,70.1,2387.00,2093.00,79.6,69.8,834.00,1937.00,0.431,320.00,912.00,0.351,399.00,554.00,0.72,26.42,112.4,34,86,2,73.9,9,0.031,107,14.2,27,8.88,70,109.7,28,95.5,32,Alabama,2,19
3,2,4,2021,2,Baylor,0,Big 12,24.00,22.00,2.00,0.917,13.00,1.00,0.929,11.00,0.00,7.00,1.00,4.00,1.00,7.00,2.00,1133.00,942.00,80.9,67.3,2025.00,1594.00,84.4,66.4,746.00,1513.00,0.493,248.00,593.00,0.418,285.00,409.00,0.697,30.93,124,3,93,44,68.4,179,0.05,69,9.57,78,-4.18,270,106.4,90,96.9,66,First Round,1,Baylor,1,79,,,192,64,Hartford,America East,23.00,15.00,8.00,0.652,8.00,6.00,0.571,9.00,1.00,6.00,6.00,0.00,1.00,0.00,1.00,897.00,867.00,64.1,61.9,1515.00,1455.00,65.9,63.3,543.00,1251.00,0.434,174.00,533.00,0.326,255.00,358.00,0.712,-1.3,98.2,254,99.5,127,66.7,269,0.078,32,-6.24,304,-0.13,213,98.2,309,104.4,276,Hartford,16,20
,,192,2021,64,Hartford,1,America East,23.00,15.00,8.00,0.652,8.00,6.00,0.571,9.00,1.00,6.00,6.00,0.00,1.00,0.00,1.00,897.00,867.00,64.1,61.9,1515.00,1455.00,65.9,63.3,543.00,1251.00,0.434,174.00,533.00,0.326,255.00,358.00,0.712,-1.3,98.2,254,99.5,127,66.7,269,0.078,32,-6.24,304,-0.13,213,98.2,309,104.4,276,First Round,1,Hartford,16,55,3,2,4,2,Baylor,Big 12,24.00,22.00,2.00,0.917,13.00,1.00,0.929,11.00,0.00,7.00,1.00,4.00,1.00,7.00,2.00,1133.00,942.00,80.9,67.3,2025.00,1594.00,84.4,66.4,746.00,1513.00,0.493,248.00,593.00,0.418,285.00,409.00,0.697,30.93,124,3,93,44,68.4,179,0.05,69,9.57,78,-4.18,270,106.4,90,96.9,66,Baylor,1,20
,16,28,2021,31,North Carolina,0,ACC,28.00,18.00,10.00,0.643,10.00,6.00,0.625,10.00,1.00,3.00,7.00,5.00,2.00,2.00,4.00,1200.00,1131.00,75,70.7,2119.00,1943.00,75.7,69.4,776.00,1761.00,0.441,157.00,496.00,0.317,410.00,614.00,0.668,21.52,110.8,53,89.3,15,71.8,45,-0.017,217,14.2,28,7.67,87,110.7,14,96.5,55,First Round,1,North Carolina,8,62,,7,10,35,Wisconsin,Big Ten,29.00,17.00,12.00,0.586,10.00,10.00,0.5,11.00,5.00,5.00,6.00,1.00,1.00,3.00,9.00,1336.00,1322.00,66.8,66.1,2019.00,1865.00,69.6,64.3,711.00,1690.00,0.421,248.00,690.00,0.359,349.00,455.00,0.767,24.08,113.2,32,89.1,13,64.9,326,-0.049,283,18.06,9,1.22,194,111.7,7,93.7,8,Wisconsin,9,66
,7,10,2021,35,Wisconsin,0,Big Ten,29.00,17.00,12.00,0.586,10.00,10.00,0.5,11.00,5.00,5.00,6.00,1.00,1.00,3.00,9.00,1336.00,1322.00,66.8,66.1,2019.00,1865.00,69.6,64.3,711.00,1690.00,0.421,248.00,690.00,0.359,349.00,455.00,0.767,24.08,113.2,32,89.1,13,64.9,326,-0.049,283,18.06,9,1.22,194,111.7,7,93.7,8,First Round,1,Wisconsin,9,85,,16,28,31,North Carolina,ACC,28.00,18.00,10.00,0.643,10.00,6.00,0.625,10.00,1.00,3.00,7.00,5.00,2.00,2.00,4.00,1200.00,1131.00,75,70.7,2119.00,1943.00,75.7,69.4,776.00,1761.00,0.441,157.00,496.00,0.317,410.00,614.00,0.668,21.52,110.8,53,89.3,15,71.8,45,-0.017,217,14.2,28,7.67,87,110.7,14,96.5,55,North Carolina,8,66
18,3,12,2021,18,Villanova,0,Big East,22.00,16.00,6.00,0.727,11.00,4.00,0.733,9.00,0.00,4.00,4.00,3.00,2.00,3.00,1.00,1116.00,998.00,74.4,66.5,1662.00,1477.00,75.5,67.1,581.00,1291.00,0.45,203.00,576.00,0.352,297.00,388.00,0.765,24.05,119.3,9,95.3,68,65.1,320,-0.006,196,12.99,41,7.33,91,108.8,44,95.9,41,First Round,1,Villanova,5,73,,,91,49,Winthrop,Big South,24.00,23.00,1.00,0.958,17.00,1.00,0.944,11.00,1.00,10.00,0.00,2.00,0.00,0.00,0.00,1422.00,1222.00,79,67.9,1909.00,1603.00,79.5,66.8,674.00,1463.00,0.461,203.00,575.00,0.353,358.00,522.00,0.686,10.37,105.8,120,95.4,70,73.6,11,0.032,103,-6.45,309,3.95,147,98.8,289,105.3,316,Winthrop,12,21
,,91,2021,49,Winthrop,1,Big South,24.00,23.00,1.00,0.958,17.00,1.00,0.944,11.00,1.00,10.00,0.00,2.00,0.00,0.00,0.00,1422.00,1222.00,79,67.9,1909.00,1603.00,79.5,66.8,674.00,1463.00,0.461,203.00,575.00,0.353,358.00,522.00,0.686,10.37,105.8,120,95.4,70,73.6,11,0.032,103,-6.45,309,3.95,147,98.8,289,105.3,316,First Round,1,Winthrop,12,63,18,3,12,18,Villanova,Big East,22.00,16.00,6.00,0.727,11.00,4.00,0.733,9.00,0.00,4.00,4.00,3.00,2.00,3.00,1.00,1116.00,998.00,74.4,66.5,1662.00,1477.00,75.5,67.1,581.00,1291.00,0.45,203.00,576.00,0.352,297.00,388.00,0.765,24.05,119.3,9,95.3,68,65.1,320,-0.006,196,12.99,41,7.33,91,108.8,44,95.9,41,Villanova,5,21
20,,13,2021,14,Purdue,0,Big Ten,27.00,18.00,9.00,0.667,13.00,6.00,0.684,11.00,1.00,5.00,6.00,2.00,2.00,5.00,5.00,1312.00,1243.00,69.1,65.4,1920.00,1790.00,71.1,66.3,689.00,1527.00,0.451,192.00,573.00,0.335,350.00,492.00,0.711,23.7,114.3,23,90.6,23,66.5,274,0.019,131,17.27,11,5.71,114,111.5,11,94.2,12,First Round,1,Purdue,4,69,,,71,52,North Texas,C-USA,26.00,17.00,9.00,0.654,9.00,5.00,0.643,8.00,3.00,5.00,6.00,4.00,0.00,0.00,1.00,955.00,868.00,68.2,62,1815.00,1592.00,69.8,61.2,668.00,1405.00,0.475,197.00,524.00,0.376,282.00,384.00,0.734,13.13,106.1,119,92.9,42,63.1,350,-0.042,271,4.33,132,5.22,124,103.5,158,99.1,116,North Texas,13,22
,,71,2021,52,North Texas,1,C-USA,26.00,17.00,9.00,0.654,9.00,5.00,0.643,8.00,3.00,5.00,6.00,4.00,0.00,0.00,1.00,955.00,868.00,68.2,62,1815.00,1592.00,69.8,61.2,668.00,1405.00,0.475,197.00,524.00,0.376,282.00,384.00,0.734,13.13,106.1,119,92.9,42,63.1,350,-0.042,271,4.33,132,5.22,124,103.5,158,99.1,116,First Round,1,North Texas,13,78,20,,13,14,Purdue,Big Ten,27.00,18.00,9.00,0.667,13.00,6.00,0.684,11.00,1.00,5.00,6.00,2.00,2.00,5.00,5.00,1312.00,1243.00,69.1,65.4,1920.00,1790.00,71.1,66.3,689.00,1527.00,0.451,192.00,573.00,0.335,350.00,492.00,0.711,23.7,114.3,23,90.6,23,66.5,274,0.019,131,17.27,11,5.71,114,111.5,11,94.2,12,Purdue,4,22
21,14,23,2021,22,Texas Tech,0,Big 12,27.00,17.00,10.00,0.63,9.00,8.00,0.529,11.00,4.00,5.00,4.00,1.00,2.00,3.00,8.00,1224.00,1162.00,72,68.4,1972.00,1712.00,73,63.4,686.00,1549.00,0.443,168.00,485.00,0.346,432.00,608.00,0.711,22.38,113.1,33,90.7,24,65.4,316,-0.091,333,11.29,59,-5.55,288,108,60,96.7,60,First Round,1,Texas Tech,6,65,,,40,42,Utah State,Mountain West,28.00,20.00,8.00,0.714,15.00,4.00,0.789,10.00,2.00,5.00,3.00,5.00,4.00,0.00,1.00,1273.00,1061.00,74.9,62.4,2052.00,1743.00,73.3,62.3,751.00,1682.00,0.446,181.00,538.00,0.336,369.00,508.00,0.726,17.94,106.4,112,88.5,8,68.9,154,-0.032,248,5.13,119,7.49,88,104.8,122,99.7,127,Utah State,11,23
,,40,2021,42,Utah State,0,Mountain West,28.00,20.00,8.00,0.714,15.00,4.00,0.789,10.00,2.00,5.00,3.00,5.00,4.00,0.00,1.00,1273.00,1061.00,74.9,62.4,2052.00,1743.00,73.3,62.3,751.00,1682.00,0.446,181.00,538.00,0.336,369.00,508.00,0.726,17.94,106.4,112,88.5,8,68.9,154,-0.032,248,5.13,119,7.49,88,104.8,122,99.7,127,First Round,1,Utah State,11,53,21,14,23,22,Texas Tech,Big 12,27.00,17.00,10.00,0.63,9.00,8.00,0.529,11.00,4.00,5.00,4.00,1.00,2.00,3.00,8.00,1224.00,1162.00,72,68.4,1972.00,1712.00,73,63.4,686.00,1549.00,0.443,168.00,485.00,0.346,432.00,608.00,0.711,22.38,113.1,33,90.7,24,65.4,316,-0.091,333,11.29,59,-5.55,288,108,60,96.7,60,Texas Tech,6,23
10,,18,2021,9,Arkansas,0,SEC,28.00,22.00,6.00,0.786,13.00,4.00,0.765,16.00,1.00,5.00,4.00,1.00,1.00,2.00,2.00,1369.00,1263.00,80.5,74.3,2307.00,1979.00,82.4,70.7,825.00,1814.00,0.455,220.00,649.00,0.339,437.00,593.00,0.737,22.96,112.2,35,89.2,14,73.1,17,0.056,57,11.19,60,-5.28,282,108.2,56,97,69,First Round,1,Arkansas,3,85,,,84,57,Colgate,Patriot,15.00,14.00,1.00,0.933,11.00,1.00,0.917,8.00,1.00,6.00,0.00,0.00,0.00,0.00,0.00,1028.00,813.00,85.7,67.8,1295.00,1029.00,86.3,68.6,472.00,947.00,0.498,136.00,340.00,0.4,215.00,294.00,0.731,11.65,111.6,43,99.9,140,72.5,25,0.05,71,-6.6,313,-99,331,99.1,283,105.7,328,Colgate,14,24
,,84,2021,57,Colgate,1,Patriot,15.00,14.00,1.00,0.933,11.00,1.00,0.917,8.00,1.00,6.00,0.00,0.00,0.00,0.00,0.00,1028.00,813.00,85.7,67.8,1295.00,1029.00,86.3,68.6,472.00,947.00,0.498,136.00,340.00,0.4,215.00,294.00,0.731,11.65,111.6,43,99.9,140,72.5,25,0.05,71,-6.6,313,-99,331,99.1,283,105.7,328,First Round,1,Colgate,14,68,10,,18,9,Arkansas,SEC,28.00,22.00,6.00,0.786,13.00,4.00,0.765,16.00,1.00,5.00,4.00,1.00,1.00,2.00,2.00,1369.00,1263.00,80.5,74.3,2307.00,1979.00,82.4,70.7,825.00,1814.00,0.455,220.00,649.00,0.339,437.00,593.00,0.737,22.96,112.2,35,89.2,14,73.1,17,0.056,57,11.19,60,-5.28,282,108.2,56,97,69,Arkansas,3,24
,,37,2021,28,Florida  ,0,SEC,23.00,14.00,9.00,0.609,9.00,7.00,0.563,6.00,3.00,5.00,5.00,3.00,1.00,2.00,2.00,1158.00,1123.00,72.4,70.2,1701.00,1606.00,74,69.8,605.00,1303.00,0.464,157.00,440.00,0.357,334.00,441.00,0.757,18.98,111.7,40,92.7,37,68.7,165,0.003,166,14.62,23,8.64,76,109.7,27,95.1,25,First Round,1,Florida,7,75,25,,50,37,Virginia Tech,ACC,21.00,15.00,6.00,0.714,9.00,4.00,0.692,10.00,2.00,3.00,3.00,2.00,1.00,4.00,0.00,908.00,855.00,69.8,65.8,1515.00,1376.00,72.1,65.5,534.00,1183.00,0.451,173.00,485.00,0.357,274.00,393.00,0.697,16.65,110.7,55,94.1,54,66.2,293,0.066,45,9.31,80,0.54,206,107.6,71,98.2,104,Virginia Tech,10,25
